Timestamp,Date,Date UTC,Open,High,Low,Close,Volume
1722006900,26-07-2024,1722006900,217.81,217.89,217.51,217.69,225668
1722007200,26-07-2024,1722007200,217.71,218.03,217.53,218.02,250402
1722007500,26-07-2024,1722007500,218.01,218.15,217.7,217.96,305838
1722007800,26-07-2024,1722007800,217.96,218.27,217.88,217.95,623764
1722008100,26-07-2024,1722008100,217.93,218.2,217.51,218.18,388043
1722008400,26-07-2024,1722008400,218.18,218.43,217.97,218.4,380588
1722008700,26-07-2024,1722008700,218.4,218.83,218.35,218.83,369960
1722009000,26-07-2024,1722009000,218.83,218.88,218.49,218.55,597620
1722009300,26-07-2024,1722009300,218.56,218.59,218.3,218.5,313684
1722009600,26-07-2024,1722009600,218.5,218.8,218.44,218.8,272592
1722009900,26-07-2024,1722009900,218.79,219.01,218.74,219,409631
1722010200,26-07-2024,1722010200,219,219.02,218.55,218.65,327489
1722010500,26-07-2024,1722010500,218.66,218.94,218.66,218.75,317551
1722010800,26-07-2024,1722010800,218.74,218.91,218.62,218.77,259770
1722011100,26-07-2024,1722011100,218.79,218.88,218.65,218.69,247388
1722011400,26-07-2024,1722011400,218.71,219.24,218.71,219.13,331648
1722011700,26-07-2024,1722011700,219.13,219.14,218.87,219.04,234681
1722012000,26-07-2024,1722012000,219.05,219.21,218.98,219.18,253101
1722012300,26-07-2024,1722012300,219.18,219.35,219.03,219.23,272027
1722012600,26-07-2024,1722012600,219.26,219.49,219.21,219.35,218568
1722012900,26-07-2024,1722012900,219.37,219.41,219.18,219.26,272341
1722013200,26-07-2024,1722013200,219.26,219.39,219.07,219.21,290081
1722013500,26-07-2024,1722013500,219.22,219.32,218.78,218.82,285676
1722013800,26-07-2024,1722013800,218.82,219.17,218.82,218.93,239977
1722014100,26-07-2024,1722014100,218.95,219.21,218.95,219.09,202291
1722014400,26-07-2024,1722014400,219.11,219.13,218.95,218.99,158550
1722014700,26-07-2024,1722014700,219.02,219.38,218.93,219.3,252472
1722015000,26-07-2024,1722015000,219.3,219.33,218.48,218.53,309326
1722015300,26-07-2024,1722015300,218.52,218.52,217.68,217.85,473842
1722015600,26-07-2024,1722015600,217.84,218.45,217.84,218.32,336595
1722015900,26-07-2024,1722015900,218.32,218.53,217.85,217.97,351052
1722016200,26-07-2024,1722016200,217.97,218.21,217.75,218.14,341944
1722016500,26-07-2024,1722016500,218.13,218.13,217.85,218.08,255164
1722016800,26-07-2024,1722016800,218.05,218.2,217.8,218.02,250315
1722017100,26-07-2024,1722017100,218.01,218.44,217.92,218.12,307076
1722017400,26-07-2024,1722017400,218.13,218.48,218.09,218.27,250140
1722017700,26-07-2024,1722017700,218.27,218.48,218.11,218.12,204676
1722018000,26-07-2024,1722018000,218.11,218.4,218.06,218.22,189728
1722018300,26-07-2024,1722018300,218.21,218.4,218.09,218.15,249517
1722018600,26-07-2024,1722018600,218.16,218.35,218.02,218.34,224686
1722018900,26-07-2024,1722018900,218.35,218.47,218.18,218.36,171047
1722019200,26-07-2024,1722019200,218.36,218.41,217.56,218.2,372553
1722019500,26-07-2024,1722019500,218.2,218.24,217.89,218.09,202857
1722019800,26-07-2024,1722019800,218.09,218.11,217.73,217.77,255312
1722020100,26-07-2024,1722020100,217.77,217.92,217.65,217.78,260938
1722020400,26-07-2024,1722020400,217.78,217.92,217.69,217.75,259325
1722020700,26-07-2024,1722020700,217.76,218.07,217.7,218.04,287900
1722021000,26-07-2024,1722021000,218.04,218.32,217.89,218.16,321675
1722021300,26-07-2024,1722021300,218.13,218.3,218,218.26,260070
1722021600,26-07-2024,1722021600,218.25,218.46,218.13,218.46,363949
1722021900,26-07-2024,1722021900,218.48,218.75,218.39,218.6,281428
1722022200,26-07-2024,1722022200,218.62,218.62,217.39,217.51,567292
1722022500,26-07-2024,1722022500,217.51,217.7,217.42,217.61,426902
1722022800,26-07-2024,1722022800,217.62,218.27,217.62,218.27,560603
1722023100,26-07-2024,1722023100,218.27,218.27,217.92,218.06,475592
1722023400,26-07-2024,1722023400,218.08,218.25,217.26,217.29,726587
1722023700,26-07-2024,1722023700,217.31,218.15,217.13,218.12,1722402
1722259800,29-07-2024,1722259800,216.68,217.59,215.93,217.09,2849743
1722260100,29-07-2024,1722260100,217.11,218.29,216.65,218.11,1063272
1722260400,29-07-2024,1722260400,218.1,218.78,217.74,218.51,790078
1722260700,29-07-2024,1722260700,218.54,219.3,218.52,219.01,873526
1722261000,29-07-2024,1722261000,218.99,219.05,218.14,218.69,664114
1722261300,29-07-2024,1722261300,218.74,218.99,218.5,218.94,484901
1722261600,29-07-2024,1722261600,218.95,219.09,218.43,218.54,517373
1722261900,29-07-2024,1722261900,218.5,218.86,218.09,218.12,453427
1722262200,29-07-2024,1722262200,218.11,218.12,217.63,217.82,575763
1722262500,29-07-2024,1722262500,217.83,218.13,217.68,217.79,441332
1722262800,29-07-2024,1722262800,217.78,218.42,217.77,218.15,423510
1722263100,29-07-2024,1722263100,218.16,218.16,217.5,217.73,547471
1722263400,29-07-2024,1722263400,217.75,217.95,217.45,217.85,420123
1722263700,29-07-2024,1722263700,217.85,218.34,217.85,218.31,365056
1722264000,29-07-2024,1722264000,218.3,218.69,218.15,218.24,600381
1722264300,29-07-2024,1722264300,218.25,218.6,217.86,217.9,396500
1722264600,29-07-2024,1722264600,217.89,218.08,217.65,217.67,456737
1722264900,29-07-2024,1722264900,217.67,218.01,217.57,217.82,324030
1722265200,29-07-2024,1722265200,217.83,217.88,217.12,217.13,500051
1722265500,29-07-2024,1722265500,217.13,217.42,216.81,216.95,532240
1722265800,29-07-2024,1722265800,216.95,217.06,216.51,216.75,562194
1722266100,29-07-2024,1722266100,216.76,217.11,216.6,217.02,322063
1722266400,29-07-2024,1722266400,217.05,217.15,216.71,216.97,259795
1722266700,29-07-2024,1722266700,216.99,217.18,216.93,217.14,268545
1722267000,29-07-2024,1722267000,217.11,217.18,216.6,216.73,256841
1722267300,29-07-2024,1722267300,216.74,217.01,216.61,216.93,268006
1722267600,29-07-2024,1722267600,216.93,217.24,216.85,217.11,258718
1722267900,29-07-2024,1722267900,217.11,217.74,217.06,217.62,342795
1722268200,29-07-2024,1722268200,217.63,217.8,217.6,217.73,265058
1722268500,29-07-2024,1722268500,217.74,218.08,217.72,218.04,293258
1722268800,29-07-2024,1722268800,218.04,218.36,218.04,218.32,319036
1722269100,29-07-2024,1722269100,218.33,218.67,218.33,218.6,402723
1722269400,29-07-2024,1722269400,218.6,218.83,218.49,218.65,276124
1722269700,29-07-2024,1722269700,218.65,218.91,218.54,218.84,212253
1722270000,29-07-2024,1722270000,218.84,218.96,218.72,218.82,265601
1722270300,29-07-2024,1722270300,218.8,218.8,218.51,218.54,188925
1722270600,29-07-2024,1722270600,218.55,218.84,218.38,218.44,214436
1722270900,29-07-2024,1722270900,218.44,218.6,218.38,218.55,179370
